Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-.29,-.18,-.11,-.19,-.11,-.23,-.20,-.09,-.15,-.23,-.19,-.22
1881,-.15,-.17,.04,.04,.02,-.20,-.06,-.02,-.13,-.21,-.21,-.11
1882,.14,.15,.04,-.19,-.16,-.26,-.21,-.05,-.10,-.25,-.16,-.24
1883,-.31,-.39,-.13,-.17,-.20,-.12,-.08,-.15,-.20,-.14,-.22,-.16
1884,-.15,-.08,-.37,-.42,-.36,-.40,-.34,-.26,-.27,-.24,-.29,-.28
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.35,-.31,-.23,-.19,-.19,-.05
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.33,-.25,-.28,-.31,-.26
1887,-.72,-.52,-.33,-.38,-.32,-.23,-.23,-.31,-.22,-.32,-.23,-.33
1888,-.37,-.35,-.41,-.22,-.21,-.18,-.09,-.15,-.09,.02,.01,-.06
1889,-.11,.19,.08,.08,-.02,-.13,-.09,-.19,-.21,-.22,-.33,-.29
1890,-.44,-.45,-.39,-.36,-.45,-.26,-.26,-.37,-.39,-.24,-.47,-.31
1891,-.41,-.47,-.19,-.28,-.18,-.20,-.20,-.16,-.13,-.21,-.34,-.04
1892,-.28,-.11,-.35,-.34,-.24,-.22,-.32,-.24,-.12,-.12,-.41,-.39
1893,-.79,-.54,-.23,-.29,-.35,-.27,-.15,-.26,-.20,-.16,-.16,-.34
1894,-.53,-.33,-.25,-.47,-.35,-.44,-.26,-.22,-.24,-.20,-.25,-.19
1895,-.44,-.41,-.28,-.24,-.26,-.23,-.17,-.15,-.08,-.08,-.14,-.15
1896,-.25,-.14,-.25,-.30,-.18,-.14,-.03,-.03,-.03,.12,-.07,-.03
1897,-.14,-.14,-.13,-.02,-.05,-.16,-.07,-.10,-.07,-.12,-.19,-.19
1898,-.03,-.29,-.51,-.33,-.32,-.20,-.24,-.25,-.21,-.33,-.38,-.25
1899,-.19,-.40,-.34,-.20,-.23,-.33,-.17,-.06,-.02,-.05,.12,-.28
1900,-.37,-.02,.02,-.12,-.10,-.12,-.12,-.10,-.04,.09,-.09,-.07
1901,-.23,-.03,.08,-.03,-.16,-.12,-.15,-.20,-.22,-.31,-.17,-.28
1902,-.20,-.04,-.29,-.31,-.36,-.35,-.29,-.33,-.29,-.31,-.39,-.46
1903,-.26,-.05,-.23,-.43,-.45,-.46,-.38,-.48,-.48,-.48,-.45,-.53
1904,-.68,-.59,-.51,-.54,-.55,-.51,-.53,-.50,-.52,-.40,-.21,-.35
1905,-.40,-.59,-.22,-.36,-.33,-.30,-.29,-.22,-.18,-.25,-.10,-.18
1906,-.28,-.30,-.16,-.04,-.24,-.21,-.25,-.20,-.27,-.19,-.38,-.16
1907,-.41,-.51,-.27,-.38,-.47,-.43,-.36,-.35,-.33,-.24,-.48,-.48
1908,-.43,-.30,-.53,-.45,-.41,-.41,-.39,-.46,-.35,-.44,-.49,-.49
1909,-.68,-.47,-.51,-.60,-.56,-.52,-.44,-.30,-.35,-.36,-.30,-.55
1910,-.44,-.44,-.50,-.40,-.34,-.37,-.34,-.35,-.36,-.38,-.53,-.66
1911,-.63,-.58,-.60,-.53,-.51,-.47,-.41,-.41,-.37,-.23,-.18,-.22
1912,-.26,-.12,-.35,-.20,-.22,-.26,-.44,-.54,-.51,-.56,-.38,-.43
1913,-.41,-.43,-.43,-.39,-.47,-.48,-.36,-.33,-.35,-.33,-.18,-.03
1914,.04,-.11,-.22,-.29,-.23,-.26,-.24,-.14,-.13,-.04,-.17,-.08
1915,-.17,.00,-.09,.06,-.06,-.20,-.10,-.19,-.16,-.24,-.12,-.16
1916,-.08,-.12,-.28,-.30,-.32,-.46,-.36,-.25,-.31,-.27,-.39,-.80
1917,-.58,-.61,-.60,-.50,-.55,-.43,-.25,-.21,-.17,-.40,-.28,-.67
1918,-.41,-.31,-.24,-.45,-.45,-.35,-.31,-.29,-.14,-.05,-.10,-.27
1919,-.19,-.22,-.19,-.12,-.27,-.36,-.28,-.31,-.21,-.18,-.40,-.40
1920,-.21,-.21,-.07,-.25,-.26,-.35,-.30,-.23,-.18,-.26,-.26,-.43
1921,-.01,-.18,-.22,-.29,-.28,-.27,-.14,-.23,-.16,-.02,-.12,-.16
1922,-.33,-.43,-.12,-.23,-.33,-.32,-.24,-.30,-.31,-.31,-.13,-.18
1923,-.28,-.36,-.34,-.39,-.34,-.25,-.29,-.29,-.27,-.11,.02,-.02
1924,-.21,-.23,-.06,-.31,-.18,-.22,-.25,-.33,-.30,-.33,-.19,-.41
1925,-.36,-.37,-.24,-.24,-.30,-.32,-.27,-.15,-.15,-.17,.05,.09
1926,.20,.07,.12,-.12,-.21,-.22,-.23,-.12,-.12,-.09,-.04,-.27
1927,-.26,-.17,-.36,-.30,-.24,-.25,-.15,-.20,-.10,.00,-.02,-.32
1928,.00,-.07,-.26,-.27,-.29,-.37,-.18,-.21,-.18,-.16,-.08,-.17
1929,-.46,-.59,-.31,-.39,-.38,-.40,-.32,-.29,-.22,-.12,-.11,-.53
1930,-.30,-.27,-.08,-.24,-.23,-.20,-.19,-.12,-.12,-.08,.17,-.06
1931,-.10,-.23,-.07,-.21,-.19,-.07,-.02,-.03,-.06,.02,-.11,-.09
1932,.14,-.18,-.19,-.06,-.19,-.30,-.24,-.23,-.11,-.11,-.26,-.25
1933,-.34,-.34,-.30,-.25,-.29,-.33,-.21,-.24,-.27,-.21,-.29,-.46
1934,-.24,-.04,-.33,-.30,-.11,-.15,-.10,-.11,-.16,-.08,.03,-.04
1935,-.33,.15,-.13,-.36,-.30,-.27,-.23,-.22,-.21,-.08,-.28,-.20
1936,-.29,-.39,-.22,-.20,-.18,-.21,-.09,-.14,-.10,-.04,-.04,-.03
1937,-.13,.03,-.18,-.17,-.08,-.05,-.05,.01,.11,.08,.09,-.12
1938,.01,-.02,.07,.04,-.10,-.18,-.10,-.06,.02,.11,.04,-.22
1939,-.08,-.08,-.20,-.10,-.06,-.08,-.08,-.08,-.07,-.03,.06,.44
1940,-.06,.13,.15,.18,.09,.08,.12,.04,.13,.07,.17,.27
1941,.21,.32,.08,.17,.14,.11,.21,.14,.02,.33,.24,.20
1942,.26,.02,.09,.10,.09,.04,.00,-.04,-.05,-.01,.08,.07
1943,-.04,.13,-.08,.07,.04,-.06,.08,.00,.06,.22,.19,.24
1944,.35,.26,.26,.19,.19,.20,.18,.17,.29,.26,.10,.02
1945,.10,-.02,.06,.18,.04,-.01,.02,.26,.22,.18,.07,-.09
